                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2858,                 1.9211,                 1.4883,                 1.6505,                0.89424,                 0.3187,                0.34455,                0.22879,                0.89086,                 0.3171,                0.34015,                0.23519,                 1.3673,                 1.6827,                 1.6836,                 1.8126,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.2563,                 1.8201,                 1.4326,                 1.6167,                0.88232,                0.33009,                0.35345,                0.26161,                0.88689,                0.32576,                0.35196,                0.25627,                 1.1851,                 1.5996,                 1.7349,                 1.6638,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.2394,                 1.8542,                 1.4076,                  1.616,                 0.8715,                0.34524,                0.35321,                0.25464,                0.86468,                0.33874,                0.34456,                0.24321,                 1.2198,                 1.7301,                 1.6143,                 1.7338,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.2094,                  1.775,                 1.4035,                 1.6113,                0.88997,                0.32576,                0.35084,                 0.2563,                0.88922,                0.32035,                0.34466,                0.24708,                 1.2837,                 1.6437,                 1.5031,                 1.7269,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.1901,                 1.7174,                  1.378,                 1.5799,                0.89088,                0.32954,                0.35902,                0.26699,                0.88332,                0.32356,                0.35386,                0.25867,                  1.133,                 1.5671,                 1.4506,                 1.6188,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.1645,                 1.7418,                 1.3275,                 1.5633,                 0.8928,                0.33709,                0.35922,                0.26573,                0.89354,                0.34006,                0.36425,                0.27047,                 1.1748,                 1.4933,                 1.5227,                 1.5981,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.1698,                 1.7669,                  1.338,                 1.5474,                  0.885,                0.31277,                0.35688,                0.26612,                0.88411,                0.31061,                0.35464,                0.26344,                 1.1366,                 1.5694,                 1.4386,                 1.6031,             0.00074282,             0.00074282,             0.00074282
                     31,                  1.091,                 1.6627,                 1.2415,                 1.4881,                0.89925,                0.35065,                0.37427,                0.28897,                0.90366,                 0.3539,                0.37604,                0.28596,                 1.1416,                 1.4177,                   1.38,                 1.5787,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.1131,                 1.6871,                 1.2817,                 1.5245,                0.91619,                0.33321,                0.36713,                0.27411,                0.91072,                0.32858,                0.35713,                0.25532,                 1.1226,                 1.6455,                 1.4464,                 1.5496,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.0608,                 1.6482,                 1.2303,                 1.4923,                0.90808,                0.35553,                0.38165,                0.29941,                0.90819,                 0.3539,                0.38006,                0.29813,                 1.0297,                 1.3671,                 1.3551,                 1.4952,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.0414,                 1.6175,                 1.1941,                 1.4587,                0.88154,                0.36905,                 0.3792,                0.28596,                0.88042,                0.36797,                0.37832,                 0.2903,                 1.0675,                 1.3638,                 1.3475,                 1.5139,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.0592,                 1.5923,                 1.1978,                 1.4723,                 0.9086,                0.36288,                0.38702,                0.30274,                 0.9003,                 0.3658,                0.38174,                0.29456,                 1.0162,                 1.3605,                 1.3563,                 1.4881,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.0089,                 1.5668,                 1.1443,                 1.4204,                 0.9179,                0.35714,                0.38249,                0.30017,                 0.9187,                0.36227,                0.38904,                0.30292,                 1.0318,                 1.2805,                 1.3604,                 1.4778,             0.00054478,             0.00054478,             0.00054478
                     37,                0.99752,                 1.5336,                 1.1368,                 1.4333,                0.93207,                0.35823,                0.39213,                0.31199,                0.92243,                0.36539,                0.39606,                0.31073,                0.97813,                 1.2817,                  1.278,                 1.4384,             0.00051177,             0.00051177,             0.00051177
                     38,                0.99025,                 1.5187,                 1.1203,                 1.4236,                0.91258,                0.36364,                0.39537,                0.31311,                0.90952,                0.36472,                0.39629,                0.30132,                0.97691,                   1.35,                 1.2613,                 1.4231,             0.00047876,             0.00047876,             0.00047876
                     39,                0.96779,                 1.4883,                 1.0859,                 1.3964,                0.89603,                0.37512,                0.38938,                0.30304,                0.89539,                0.38044,                0.39084,                0.30181,                0.98332,                 1.3555,                 1.2222,                 1.4278,             0.00044576,             0.00044576,             0.00044576
                     40,                0.95847,                 1.4433,                 1.0938,                 1.4001,                0.92188,                0.35606,                0.39358,                0.31971,                0.92386,                0.35823,                0.39458,                0.31204,                 0.9504,                 1.2926,                 1.1616,                 1.4007,             0.00041275,             0.00041275,             0.00041275
